tie;ajorata;kaista;osa;aet;let;tietyyppi;s_tietyyppi;katyyppi;s_katyyppi
1;2;21;24;2820;6755;1;tie;1;pääkaista
1;2;22;24;0;2820;1;tie;2;ohitus
1;2;22;24;2820;6755;1;tie;2;ohitus
1;1;11;26;0;6745;1;tie;1;pääkaista
1;1;12;26;0;6745;1;tie;2;ohitus
1;2;21;26;0;6745;1;tie;1;pääkaista
1;2;22;26;0;6745;1;tie;2;ohitus
1;1;11;27;0;6930;1;tie;1;pääkaista
1;1;12;27;0;6930;1;tie;2;ohitus
1;2;21;27;0;6930;1;tie;1;pääkaista
1;2;22;27;0;6930;1;tie;2;ohitus
1;1;11;28;0;4550;1;tie;1;pääkaista
1;1;12;28;0;4550;1;tie;2;ohitus
1;2;21;28;0;4550;1;tie;1;pääkaista
1;2;22;28;0;4550;1;tie;2;ohitus
1;1;11;29;0;800;1;tie;1;pääkaista
1;1;11;29;800;2800;1;tie;1;pääkaista
1;1;11;29;2800;2930;1;tie;1;pääkaista
1;1;12;29;0;800;1;tie;2;ohitus
1;1;12;29;800;2800;1;tie;2;ohitus
1;1;12;29;2800;2930;1;tie;2;ohitus
1;2;21;29;0;800;1;tie;1;pääkaista
1;2;21;29;800;2800;1;tie;1;pääkaista
1;2;21;29;2800;2930;1;tie;1;pääkaista
1;2;22;29;0;800;1;tie;2;ohitus
1;2;22;29;800;2800;1;tie;2;ohitus
1;2;22;29;2800;2930;1;tie;2;ohitus
1;2;23;29;800;2800;1;tie;5;suoraanlis
1;1;11;30;0;30;1;tie;1;pääkaista
1;1;11;30;30;4430;1;tie;1;pääkaista
1;1;12;30;0;30;1;tie;2;ohitus
1;1;12;30;30;4430;1;tie;2;ohitus
1;2;21;30;0;30;1;tie;1;pääkaista
1;2;21;30;30;4430;1;tie;1;pääkaista
1;2;22;30;0;30;1;tie;2;ohitus
1;2;22;30;30;4430;1;tie;2;ohitus
1;1;11;31;0;6250;1;tie;1;pääkaista
1;1;12;31;0;6250;1;tie;2;ohitus
1;2;21;31;0;6250;1;tie;1;pääkaista
1;2;22;31;0;6250;1;tie;2;ohitus
1;1;11;32;0;3000;1;tie;1;pääkaista
1;1;12;32;0;3000;1;tie;2;ohitus
1;2;21;32;0;3000;1;tie;1;pääkaista
1;2;22;32;0;3000;1;tie;2;ohitus
1;1;11;33;0;3740;1;tie;1;pääkaista
1;1;12;33;0;3740;1;tie;2;ohitus
1;2;21;33;0;3740;1;tie;1;pääkaista
1;2;22;33;0;3740;1;tie;2;ohitus
1;1;11;34;0;1730;1;tie;1;pääkaista
1;1;12;34;0;1730;1;tie;2;ohitus
1;2;21;34;0;1730;1;tie;1;pääkaista
1;2;22;34;0;1730;1;tie;2;ohitus
1;2;23;34;340;1410;1;tie;8;sekoittum
1;1;11;35;0;320;1;tie;1;pääkaista
1;1;11;35;320;1210;1;tie;1;pääkaista
1;1;11;35;1210;2465;1;tie;1;pääkaista
1;1;12;35;0;320;1;tie;2;ohitus
1;1;12;35;320;1210;1;tie;2;ohitus
1;1;12;35;1210;2465;1;tie;2;ohitus
1;1;13;35;320;1210;1;tie;8;sekoittum
1;1;13;35;1723;2133;1;tie;8;sekoittum
1;2;21;35;0;320;1;tie;1;pääkaista
1;2;21;35;320;1210;1;tie;1;pääkaista
1;2;21;35;1210;2465;1;tie;1;pääkaista
1;2;22;35;0;320;1;tie;2;ohitus
1;2;22;35;320;1210;1;tie;2;ohitus
1;2;22;35;1210;2465;1;tie;2;ohitus
1;2;23;35;320;1210;1;tie;8;sekoittum
1;2;23;35;1744;2041;1;tie;8;sekoittum
1;1;11;36;0;1350;3;katu;1;pääkaista
1;1;11;36;1350;1767;3;katu;1;pääkaista
1;1;11;36;1767;1768;3;katu;1;pääkaista
1;1;11;36;1768;2785;3;katu;1;pääkaista
1;1;12;36;0;1350;3;katu;2;ohitus
1;1;12;36;1350;1767;3;katu;2;ohitus
1;1;12;36;1767;1768;3;katu;2;ohitus
1;1;12;36;1768;2785;3;katu;2;ohitus
1;1;13;36;1350;1767;3;katu;5;suoraanlis
1;1;13;36;1767;1768;3;katu;5;suoraanlis
1;1;13;36;1768;2380;3;katu;5;suoraanlis
1;1;13;36;2380;2497;3;katu;7;erkanemis
1;1;15;36;1544;1736;3;katu;7;erkanemis
1;2;21;36;0;1350;3;katu;1;pääkaista
1;2;21;36;1350;1767;3;katu;1;pääkaista
1;2;21;36;1767;1768;3;katu;1;pääkaista
1;2;21;36;1768;2785;3;katu;1;pääkaista
1;2;22;36;0;1350;3;katu;2;ohitus
1;2;22;36;1350;1767;3;katu;2;ohitus
1;2;22;36;1767;1768;3;katu;2;ohitus
1;2;22;36;1768;2785;3;katu;2;ohitus
2;0;11;1;4620;4730;1;tie;1;pääkaista
2;0;21;1;4620;4730;1;tie;1;pääkaista
2;1;11;1;0;163;1;tie;1;pääkaista
2;1;11;1;163;4533;1;tie;1;pääkaista
2;1;11;1;4533;4620;1;tie;1;pääkaista
2;1;12;1;163;4533;1;tie;2;ohitus
2;2;21;1;0;163;1;tie;1;pääkaista
2;2;21;1;163;4533;1;tie;1;pääkaista
2;2;21;1;4533;4620;1;tie;1;pääkaista
2;2;22;1;163;4533;1;tie;2;ohitus
2;0;11;2;0;2186;1;tie;1;pääkaista
2;0;21;2;0;2186;1;tie;1;pääkaista
2;0;11;3;0;3022;1;tie;1;pääkaista
2;0;21;3;0;3022;1;tie;1;pääkaista
2;0;11;4;0;4240;1;tie;1;pääkaista
2;0;12;4;4088;4240;1;tie;4;oma_vas
2;0;21;4;0;4240;1;tie;1;pääkaista
2;0;11;5;0;5689;1;tie;1;pääkaista
2;0;11;5;6305;6480;1;tie;1;pääkaista
2;0;11;5;6480;6707;1;tie;1;pääkaista
2;0;11;5;6707;6884;1;tie;1;pääkaista
2;0;12;5;6305;6480;1;tie;5;suoraanlis
2;0;12;5;6480;6700;1;tie;5;suoraanlis
2;0;12;5;6700;6707;1;tie;2;ohitus
2;0;21;5;0;5689;1;tie;1;pääkaista
2;0;21;5;6305;6480;1;tie;1;pääkaista
2;0;21;5;6480;6707;1;tie;1;pääkaista
2;0;21;5;6707;6884;1;tie;1;pääkaista
2;0;22;5;0;60;1;tie;4;oma_vas
2;1;11;5;5689;5920;1;tie;1;pääkaista
2;1;11;5;5920;6305;1;tie;1;pääkaista
2;1;12;5;5825;5908;1;tie;4;oma_vas
2;1;12;5;5908;5920;1;tie;5;suoraanlis
2;1;12;5;5920;6305;1;tie;5;suoraanlis
2;2;21;5;5689;5920;1;tie;1;pääkaista
2;2;21;5;5920;6305;1;tie;1;pääkaista
2;2;22;5;5908;5920;1;tie;4;oma_vas
2;2;22;5;5920;6125;1;tie;4;oma_vas
2;0;11;12;0;287;1;tie;1;pääkaista
2;0;11;12;287;1401;1;tie;1;pääkaista
2;0;11;12;1401;1747;1;tie;1;pääkaista
2;0;11;12;1747;2735;1;tie;1;pääkaista
2;0;11;12;2735;4783;1;tie;1;pääkaista
2;0;12;12;1747;2735;1;tie;2;ohitus
2;0;13;12;4684;4783;1;tie;3;oma_oik
2;0;21;12;0;287;1;tie;1;pääkaista
2;0;21;12;287;1401;1;tie;1;pääkaista
2;0;21;12;1401;1747;1;tie;1;pääkaista
2;0;21;12;1747;2735;1;tie;1;pääkaista
2;0;21;12;2735;4783;1;tie;1;pääkaista
2;0;22;12;287;1401;1;tie;2;ohitus
2;0;23;12;0;106;1;tie;3;oma_oik
2;0;11;13;0;111;1;tie;1;pääkaista
2;0;11;13;111;1045;1;tie;1;pääkaista
2;0;11;13;1045;1377;1;tie;1;pääkaista
2;0;11;13;1716;3365;1;tie;1;pääkaista
2;0;11;13;3365;3707;1;tie;1;pääkaista
2;0;11;13;3707;4545;1;tie;1;pääkaista
2;0;11;13;4545;5174;1;tie;1;pääkaista
2;0;12;13;3707;4545;1;tie;2;ohitus
2;0;21;13;0;111;1;tie;1;pääkaista
2;0;21;13;111;1045;1;tie;1;pääkaista
2;0;21;13;1045;1377;1;tie;1;pääkaista
2;0;21;13;1716;3365;1;tie;1;pääkaista
2;0;21;13;3365;3707;1;tie;1;pääkaista
2;0;21;13;3707;4545;1;tie;1;pääkaista
2;0;21;13;4545;5174;1;tie;1;pääkaista
2;0;22;13;111;1045;1;tie;2;ohitus
2;0;23;13;0;111;1;tie;3;oma_oik
2;1;11;13;1377;1716;1;tie;1;pääkaista
2;2;21;13;1377;1716;1;tie;1;pääkaista
2;0;11;15;0;6921;1;tie;1;pääkaista
2;0;13;15;1628;1734;1;tie;3;oma_oik
2;0;13;15;6826;6921;1;tie;3;oma_oik
2;0;21;15;0;6921;1;tie;1;pääkaista
2;0;11;16;0;6205;1;tie;1;pääkaista
2;0;21;16;0;6205;1;tie;1;pääkaista
2;0;11;17;0;4979;1;tie;1;pääkaista
2;0;11;17;4979;5195;1;tie;1;pääkaista
2;0;21;17;0;4979;1;tie;1;pääkaista
2;0;21;17;4979;5195;1;tie;1;pääkaista
2;1;11;17;5195;5419;1;tie;1;pääkaista
2;2;21;17;5195;5419;1;tie;1;pääkaista
2;0;11;18;2095;2378;1;tie;1;pääkaista
